Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
13362,0.24,Very Good,F,VS2,62.9,58.0,419,3.94,4.01,2.5
18593,1.02,Very Good,F,VS1,62.4,58.0,7587,6.42,6.47,4.02
46844,0.56,Ideal,F,SI1,61.1,56.0,1811,5.35,5.33,3.26
29634,0.32,Ideal,J,VS1,62.0,54.7,442,4.39,4.42,2.73
23003,1.47,Very Good,G,VS2,62.7,56.0,11060,7.15,7.18,4.49
44407,0.56,Ideal,G,VS2,62.2,57.0,1585,5.29,5.25,3.28
11901,1.13,Ideal,E,SI2,61.8,57.0,5120,6.68,6.65,4.12
39374,0.31,Ideal,D,VVS2,61.0,55.0,1074,4.38,4.41,2.68
11029,1.07,Ideal,H,SI1,62.0,57.0,4918,6.56,6.51,4.05
20938,1.05,Ideal,E,VVS2,62.4,56.0,9146,6.52,6.49,4.06
14732,1.22,Premium,H,VS2,62.7,58.0,5930,6.77,6.73,4.23
51500,0.7,Very Good,F,SI1,62.4,58.0,2382,5.64,5.7,3.54
41198,0.5,Ideal,F,SI2,60.9,57.0,1203,5.16,5.13,3.13
51673,0.7,Ideal,E,SI2,61.9,57.0,2398,5.66,5.69,3.51
27519,3.01,Good,I,SI2,63.9,60.0,18242,9.06,9.01,5.77
11634,1.01,Very Good,G,SI1,63.4,58.0,5051,6.29,6.4,4.02
45321,0.32,Ideal,G,VS2,62.0,57.0,524,4.37,4.41,2.72
39567,0.44,Very Good,F,VS1,61.2,61.0,1081,4.83,4.88,2.97
48179,0.54,Ideal,H,VVS1,61.7,57.0,1944,5.24,5.23,3.23
21724,1.86,Good,G,SI2,63.8,55.0,9791,7.79,7.73,4.95
42726,0.43,Ideal,G,IF,61.6,57.0,1341,4.84,4.81,2.97
28492,0.29,Ideal,G,VVS1,62.4,56.0,673,4.22,4.24,2.64
21152,1.18,Premium,G,VVS2,61.6,58.0,9304,6.8,6.77,4.18
47013,0.6,Premium,E,VS2,62.7,58.0,1819,5.34,5.37,3.36
48118,0.54,Ideal,F,VS1,60.9,56.0,1937,5.27,5.29,3.21
50799,0.71,Ideal,I,VS1,62.1,56.0,2306,5.68,5.72,3.54
10622,1.22,Premium,H,SI1,61.0,59.0,4829,6.92,6.86,4.2
43174,0.54,Premium,I,VS1,61.5,58.0,1389,5.28,5.26,3.24
10024,0.23,Ideal,I,VVS1,63.0,56.0,414,3.94,3.9,2.47
2762,0.9,Very Good,I,SI1,63.3,59.0,3251,6.14,6.05,3.86
11382,0.34,Ideal,H,VS1,62.5,57.0,596,4.43,4.46,2.78
25527,1.61,Ideal,G,VS1,61.9,55.0,14341,7.58,7.55,4.68
25529,1.53,Premium,G,VS1,61.0,60.0,14344,7.43,7.4,4.52
